subject,speed,trial,frequency,target_frequency_hz,leg,n_samples,rmse,r2
AB07_Leo,1p2mps,trial_3,50Hz,50,R,1356,0.09787555427838789,0.9093767419402862
AB07_Leo,1p2mps,trial_3,50Hz,50,L,1356,0.10086964238462488,0.8798832016459072
AB07_Leo,1p2mps,trial_3,25Hz,25,R,631,0.10343863032123325,0.8988876679511423
AB07_Leo,1p2mps,trial_3,25Hz,25,L,631,0.09661772223317487,0.8887984110046028
AB07_Leo,1p2mps,trial_3,10Hz,10,R,196,0.10674331255711134,0.8877191205950059
AB07_Leo,1p2mps,trial_3,10Hz,10,L,196,0.12747540745493738,0.8037598499793783
